scenario,delta_on,turn,phi,cv,is_drifting,S_fro_norm,step,gamma
DRIFTING,True,63,0.510717,0.074423,0,0.318819,64,0.740039
DRIFTING,True,64,0.479173,0.065436,0,0.328696,65,0.756595
DRIFTING,True,65,0.433971,0.079757,0,0.33165,66,0.729812
DRIFTING,True,66,0.428954,0.07489,0,0.334572,67,0.739154
DRIFTING,True,67,0.392928,0.09609,0,0.328674,68,0.696779
DRIFTING,True,68,0.41219,0.081066,0,0.319,69,0.727258
DRIFTING,True,69,0.432032,0.066916,0,0.325791,70,0.753927
DRIFTING,True,70,0.411423,0.062556,0,0.316897,71,0.761717
DRIFTING,True,71,0.432594,0.052207,0,0.286756,72,0.779365
DRIFTING,True,72,0.369585,0.077084,0,0.289009,73,0.734972
DRIFTING,True,73,0.377619,0.068915,0,0.311862,74,0.750288
DRIFTING,True,74,0.330962,0.097871,0,0.306425,75,0.69303
DRIFTING,True,75,0.412808,0.090588,0,0.31123,76,0.708182
DRIFTING,True,76,0.368977,0.079414,0,0.3218,77,0.730478
DRIFTING,True,77,0.371714,0.070018,0,0.326189,78,0.748261
DRIFTING,True,78,0.365026,0.063708,0,0.307231,79,0.759679
DRIFTING,True,79,0.405392,0.062978,0,0.305183,80,0.760972
DRIFTING,True,80,0.346268,0.069334,0,0.290946,81,0.74952
DRIFTING,True,81,0.376292,0.056752,0,0.297577,82,0.771761
DRIFTING,True,82,0.408966,0.063962,0,0.305756,83,0.759227
DRIFTING,True,83,0.342078,0.073976,0,0.296106,84,0.740881
DRIFTING,True,84,0.389423,0.065013,0,0.288947,85,0.757353
DRIFTING,True,85,0.384438,0.055833,0,0.269923,86,0.773317
DRIFTING,True,86,0.370499,0.050322,0,0.265195,87,0.782452
DRIFTING,True,87,0.263707,0.145684,0,0.269803,88,0.585112
DRIFTING,True,88,0.289103,0.152342,0,0.296321,89,0.569511
DRIFTING,True,89,0.298242,0.116937,0,0.291188,90,0.651406
DRIFTING,True,90,0.251105,0.151541,0,0.2958,91,0.571389
DRIFTING,True,91,0.330069,0.123147,0,0.297792,92,0.637353
DRIFTING,True,92,0.264761,0.12392,0,0.308061,93,0.635588
DRIFTING,True,93,0.283923,0.098899,0,0.298336,94,0.690854
DRIFTING,True,94,0.313938,0.09286,0,0.308825,95,0.703505
DRIFTING,True,95,0.313851,0.078453,0,0.32292,96,0.732338
DRIFTING,True,96,0.273763,0.076885,0,0.306396,97,0.735353
DRIFTING,True,97,0.285232,0.066311,0,0.313357,98,0.75502
DRIFTING,True,98,0.239097,0.101977,0,0.311286,99,0.684292
DRIFTING,True,99,0.239797,0.10652,0,0.309055,100,0.674469
DRIFTING,False,0,0.844788,0.0,0,0.0,0,0.0
DRIFTING,False,1,0.791505,0.046051,0,0.0,0,0.0
DRIFTING,False,2,0.821083,0.03259,0,0.0,0,0.0
DRIFTING,False,3,0.811063,0.027127,0,0.0,0,0.0
DRIFTING,False,4,0.838727,0.026166,0,0.0,0,0.0
DRIFTING,False,5,0.833605,0.023045,0,0.0,0,0.0
DRIFTING,False,6,0.787572,0.02486,0,0.0,0,0.0
DRIFTING,False,7,0.778143,0.033256,0,0.0,0,0.0
DRIFTING,False,8,0.78041,0.037208,0,0.0,0,0.0
DRIFTING,False,9,0.840837,0.037967,0,0.0,0,0.0
DRIFTING,False,10,0.773381,0.03502,0,0.0,0,0.0
DRIFTING,False,11,0.746911,0.044031,0,0.0,0,0.0
DRIFTING,False,12,0.816358,0.046808,0,0.0,0,0.0
DRIFTING,False,13,0.774225,0.047596,0,0.0,0,0.0
DRIFTING,False,14,0.806766,0.035805,0,0.0,0,0.0
DRIFTING,False,15,0.785288,0.034962,0,0.0,0,0.0
